-1.000 1.000 0.000 0.000 0.000 0.000
-0.950 1.000 0.000 0.000 0.000 0.000
-0.900 1.000 0.000 0.000 0.000 0.000
-0.850 0.929 0.000 0.000 0.000 0.000
-0.800 0.857 0.000 0.000 0.000 0.000
-0.750 0.786 0.000 0.000 0.000 0.000
-0.700 0.714 0.000 0.000 0.000 0.000
-0.650 0.643 0.000 0.000 0.000 0.000
-0.600 0.571 0.000 0.000 0.000 0.000
-0.550 0.500 0.500 0.000 0.000 0.000
-0.500 0.429 1.000 0.000 0.000 0.000
-0.450 0.357 1.000 0.000 0.000 0.000
-0.400 0.286 1.000 0.000 0.000 0.000
-0.350 0.214 1.000 0.000 0.000 0.000
-0.300 0.143 1.000 0.000 0.000 0.000
-0.250 0.071 1.000 0.167 0.000 0.000
-0.200 0.000 1.000 0.333 0.000 0.000
-0.150 0.000 1.000 0.500 0.000 0.000
-0.100 0.000 1.000 0.667 0.000 0.000
-0.050 0.000 1.000 0.833 0.000 0.000
0.000 0.000 1.000 1.000 0.000 0.000
0.050 0.000 0.500 1.000 0.000 0.000
0.100 0.000 0.000 1.000 0.000 0.000
0.150 0.000 0.000 1.000 0.500 0.000
0.200 0.000 0.000 1.000 1.000 0.000
0.250 0.000 0.000 0.500 1.000 0.000
0.300 0.000 0.000 0.000 1.000 0.000
0.350 0.000 0.000 0.000 0.900 0.000
0.400 0.000 0.000 0.000 0.800 0.000
0.450 0.000 0.000 0.000 0.700 0.250
0.500 0.000 0.000 0.000 0.600 0.500
0.550 0.000 0.000 0.000 0.500 0.750
0.600 0.000 0.000 0.000 0.400 1.000
0.650 0.000 0.000 0.000 0.300 1.000
0.700 0.000 0.000 0.000 0.200 1.000
0.750 0.000 0.000 0.000 0.100 1.000
0.800 0.000 0.000 0.000 -0.000 1.000
0.850 0.000 0.000 0.000 0.000 1.000
0.900 0.000 0.000 0.000 0.000 1.000
0.950 0.000 0.000 0.000 0.000 1.000
1.000 0.000 0.000 0.000 0.000 1.000
