-1.000 0.000 0.000 1.000 0.000
-0.950 0.000 0.000 1.000 0.000
-0.900 0.000 0.000 1.000 0.000
-0.850 0.000 0.000 0.929 0.071
-0.800 0.000 0.000 0.857 0.143
-0.750 0.000 0.000 0.786 0.214
-0.700 0.000 0.000 0.714 0.286
-0.650 0.000 0.000 0.643 0.357
-0.600 0.000 0.000 0.571 0.429
-0.550 0.000 0.000 0.500 0.500
-0.500 0.000 0.000 1.000 0.000
-0.450 0.000 0.000 1.000 0.000
-0.400 0.000 0.000 1.000 0.000
-0.350 0.000 0.000 1.000 0.000
-0.300 0.000 0.000 1.000 0.000
-0.250 0.071 0.000 1.000 0.000
-0.200 0.000 0.000 1.000 0.000
-0.150 0.000 0.000 1.000 0.000
-0.100 0.000 0.000 1.000 0.000
-0.050 0.000 0.000 1.000 0.000
0.000 0.000 0.000 1.000 0.000
0.050 0.000 0.000 0.500 0.500
0.100 0.000 0.000 0.000 1.000
0.150 0.500 0.000 0.000 1.000
0.200 1.000 0.000 0.000 1.000
0.250 1.000 0.000 0.000 1.000
0.300 1.000 0.000 0.000 1.000
0.350 0.900 0.000 0.000 1.000
0.400 0.800 0.000 0.000 1.000
0.450 0.700 0.250 0.000 1.000
0.500 0.600 0.500 0.000 1.000
0.550 0.500 0.500 0.000 1.000
0.600 0.400 0.400 0.000 1.000
0.650 0.300 0.300 0.000 1.000
0.700 0.200 0.200 0.000 1.000
0.750 0.100 0.100 0.000 1.000
0.800 -0.000 -0.000 0.000 1.000
0.850 0.000 0.000 0.000 1.000
0.900 0.000 0.000 0.000 1.000
0.950 0.000 0.000 0.000 1.000
1.000 0.000 0.000 0.000 1.000
